"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","23-DEC-25","14-OCT-25","17:30:00Z","ARLINGTON","WASHINGTON","UNITED STATES","AIRCRAFT CANOPY SEPARATED AFTER TAKEOFF.","ACCIDENT","SEATTLE FSDO","N300EX","","","EXTRA FLUGZEUGBAU  GMBH","EA 300/L","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","23-DEC-25","15-OCT-25","19:14:00Z","OKLAHOMA","TULSA","UNITED STATES","AIRCRAFT PORPOISED DURING LANDING ROLLOUT AND NOSE GEAR COLLAPSED VEERING OFF THE RUNWAY.","INCIDENT","WILL ROGERS FSDO","N2130W","","","BEECH","C23","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-DEC-25","16-OCT-25","00:25:00Z","ARLINGTON","WASHINGTON","UNITED STATES","AIRCRAFT LANDED IN A FIELD DUE TO AN ENGINE ISSUE.","INCIDENT","SEATTLE FSDO","N2939H","","","ENGINEERING & RESEARCH","415-C","No","MINOR","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","23-DEC-25","19-DEC-25","22:00:00Z","POST","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES, MADE A FORCED LANDING IN A FIELD AND CAME TO REST IN TREES, POST, TX.","ACCIDENT","LUBBOCK FSDO","N2536U","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-DEC-25","22-DEC-25","19:22:00Z","FARMINGDALE","NEW YORK","UNITED STATES","AIRCRAFT EXPERIENCED LOSS OF BRAKES WHILE TAXIING AND STRUCK N65199, FARMINGDALE, NY.","INCIDENT","FARMINGDALE FSDO","N1517E","","","CESSNA","172","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-DEC-25","22-DEC-25","19:22:00Z","FARMINGDALE","NEW YORK","UNITED STATES","AIRCRAFT WAS TAXIING AND STRUCK BY N1517E, FARMINGDALE, NY.","INCIDENT","FARMINGDALE FSDO","N65199","","","CESSNA","152","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-JAN-26","05-JAN-26","21:45:00Z","FREDERICKSBURG","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE POWER LOSS JUST AFTER BEING AIRBORNE, SET BACK DOWN AND GROUND LOOPED, FREDERICKSBURG, TX.","ACCIDENT","SAN ANTONIO FSDO","N351MT","","","CANARD AERO","SW-51 MUSTANG","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-JAN-26","06-JAN-26","01:23:00Z","TETERBORO","NEW JERSEY","UNITED STATES","AIRCRAFT BLEW FOUR TIRES WHILE LANDING AND TAXIED TO TAXIWAY WHERE PASSENGERS DEPLANED AND BUSSED TO THE TERMINAL, TETERBORO, NJ.","INCIDENT","TETERBORO FSDO","N244JX","JSX1121","DELUX PUBLIC CHARTER","EMBRAER","EMB-145LR","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0"
"Yes","07-JAN-26","05-JAN-26","20:30:00Z","GRAYSLAKE","ILLINOIS","UNITED STATES","AIRCRAFT DEPARTED AND IMPACTED TREES, GRAYSLAKE, IL.","ACCIDENT","GREATER CHICAGO FSDO","N101FA","","","CESSNA","150","No","SUBSTANTIAL","INSTRUCTION","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Yes","07-JAN-26","07-JAN-26","00:55:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A RUNWAY LIGHT WHILE EXITING THE RUNWAY, ORLANDO, FL.","INCIDENT","ORLANDO FSDO","N126ML","","","PIPER","PA44","No","UNKNOWN","INSTRUCTION","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","05-JAN-26","02-JAN-26","16:53:00Z","SUPERIOR","ARIZONA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, SUPERIOR, AZ.","ACCIDENT","SCOTTSDALE FSDO","N3502P","","","MD HELICOPTERS","369","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"No","05-JAN-26","04-JAN-26","16:48:00Z","PROVINCETOWN","MASSACHUSETTS","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES WHILE LANDING AND BECAME ENGULFED IN FLAMES, PROVINCETOWN, MA.","ACCIDENT","BOSTON FSDO","N9360E","","","CESSNA","172","No","DESTROYED","PERSONAL","LANDING (LDG)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JAN-26","05-JAN-26","02:08:00Z","COOLIDGE","ARIZONA","UNITED STATES","AIRCRAFT STRUCK POWER LINES ON LANDING, COOLIDGE, AZ.","ACCIDENT","SCOTTSDALE FSDO","N7235X","","","CESSNA","150","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","05-JAN-26","05-JAN-26","00:50:00Z","TAMPA","FLORIDA","UNITED STATES","AIRCRAFT ON LANDING ROLLOUT, VEERED OFF RUNWAY AND STRUCK A TAXIWAY SIGN, TAMPA, FL.","INCIDENT","TAMPA FSDO","N140KM","","","CESSNA","414","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","05-JAN-26","04-JAN-26","19:26:00Z","TYLER","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, TYLER, TX.","INCIDENT","NORTH TEXAS FSDO","N204JA","","","RANS","S-6S COYOTEII","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JAN-26","02-JAN-26","22:40:00Z","RANGER","TEXAS","UNITED STATES","AIRCRAFT STALLED DURING TAKEOFF AND WENT INTO TREES, RANGER, TX.","INCIDENT","LUBBOCK FSDO","N5174C","","","BEECH","B35","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JAN-26","04-JAN-26","23:44:00Z","SEALY","TEXAS","UNITED STATES","AIRCRAFT MADE A HARD LANDING DAMAGING THE NOSE, PROPS AND WINGS, SEALY, TX.","ACCIDENT","HOUSTON FSDO","N8877D","","","PIPER","PA22","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
